n,e,pop
6871000,608000,18
6872000,608000,13
6873000,608000,19
6874000,608000,254
6875000,608000,17
6876000,608000,26
6877000,608000,21
6878000,608000,3
6879000,608000,20
6880000,608000,4
6900000,608000,8
6904000,608000,5
6905000,608000,11
6906000,608000,3
6907000,608000,6
6908000,608000,34
6909000,608000,5
6910000,608000,5
6911000,608000,36
6912000,608000,10
6913000,608000,41
6914000,608000,25
6915000,608000,47
6916000,608000,32
6917000,608000,4
6918000,608000,26
6921000,608000,3
6922000,608000,18
6923000,608000,10
6925000,608000,4
6926000,608000,20
6930000,608000,7
6931000,608000,37
6932000,608000,0
6934000,608000,9
6936000,608000,0
6937000,608000,14
6938000,608000,9
6939000,608000,42
6940000,608000,182
6985000,608000,5
6987000,608000,14
